Vollcode,aggregatie,Naam,code
"1017CC","Postcode 2016","1017CC",""
"1017CD","Postcode 2016","1017CD",""
"1017CE","Postcode 2016","1017CE",""
"1017CG","Postcode 2016","1017CG",""
"1017CH","Postcode 2016","1017CH",""
"1017CJ","Postcode 2016","1017CJ",""
"1017CK","Postcode 2016","1017CK",""
"1017CL","Postcode 2016","1017CL",""
"1017CM","Postcode 2016","1017CM",""
"1017CN","Postcode 2016","1017CN",""
"1017CP","Postcode 2016","1017CP",""
"1017CR","Postcode 2016","1017CR",""
"1017CS","Postcode 2016","1017CS",""
"1017CT","Postcode 2016","1017CT",""
"1017CV","Postcode 2016","1017CV",""
"1017CW","Postcode 2016","1017CW",""
"1017CX","Postcode 2016","1017CX",""
"1017CZ","Postcode 2016","1017CZ",""
"1017DA","Postcode 2016","1017DA",""
"1017DB","Postcode 2016","1017DB",""
"1017DC","Postcode 2016","1017DC",""
"1017DD","Postcode 2016","1017DD",""
"1017DE","Postcode 2016","1017DE",""
"1017DG","Postcode 2016","1017DG",""
"1017DH","Postcode 2016","1017DH",""
"1017DJ","Postcode 2016","1017DJ",""
"1017DK","Postcode 2016","1017DK",""
"1017DL","Postcode 2016","1017DL",""
"1017DM","Postcode 2016","1017DM",""
"1017DN","Postcode 2016","1017DN",""
"1017DP","Postcode 2016","1017DP",""
"1017DR","Postcode 2016","1017DR",""
"1017DS","Postcode 2016","1017DS",""
"1017DT","Postcode 2016","1017DT",""
"1017DV","Postcode 2016","1017DV",""
"1017DW","Postcode 2016","1017DW",""
"1017DX","Postcode 2016","1017DX",""
"1017DZ","Postcode 2016","1017DZ",""
"1017EA","Postcode 2016","1017EA",""
"1017EB","Postcode 2016","1017EB",""
"1017EC","Postcode 2016","1017EC",""
"1017ED","Postcode 2016","1017ED",""
"1017EE","Postcode 2016","1017EE",""
"1017EG","Postcode 2016","1017EG",""
"1017EH","Postcode 2016","1017EH",""
"1017EJ","Postcode 2016","1017EJ",""
"1017EK","Postcode 2016","1017EK",""
"1017EL","Postcode 2016","1017EL",""
"1017EM","Postcode 2016","1017EM",""
"1017EN","Postcode 2016","1017EN",""
"1017EP","Postcode 2016","1017EP",""
"1017ER","Postcode 2016","1017ER",""
"1017ES","Postcode 2016","1017ES",""
"1017ET","Postcode 2016","1017ET",""
"1017EV","Postcode 2016","1017EV",""
"1017EW","Postcode 2016","1017EW",""
"1017EX","Postcode 2016","1017EX",""
"1017EZ","Postcode 2016","1017EZ",""
"1017GA","Postcode 2016","1017GA",""
"1017GB","Postcode 2016","1017GB",""
"1017GC","Postcode 2016","1017GC",""
"1017GD","Postcode 2016","1017GD",""
"1017GE","Postcode 2016","1017GE",""
"1017GG","Postcode 2016","1017GG",""
"1017GH","Postcode 2016","1017GH",""
"1017GJ","Postcode 2016","1017GJ",""
"1017GK","Postcode 2016","1017GK",""
"1017GL","Postcode 2016","1017GL",""
"1017GM","Postcode 2016","1017GM",""
"1017GN","Postcode 2016","1017GN",""
"1017GP","Postcode 2016","1017GP",""
"1017GR","Postcode 2016","1017GR",""
"1017GS","Postcode 2016","1017GS",""
"1017GT","Postcode 2016","1017GT",""
"1017GV","Postcode 2016","1017GV",""
"1017GW","Postcode 2016","1017GW",""
"1017GX","Postcode 2016","1017GX",""
"1017GZ","Postcode 2016","1017GZ",""
"1017HA","Postcode 2016","1017HA",""
"1017HB","Postcode 2016","1017HB",""
"1017HC","Postcode 2016","1017HC",""
"1017HD","Postcode 2016","1017HD",""
"1017HE","Postcode 2016","1017HE",""
"1017HG","Postcode 2016","1017HG",""
"1017HH","Postcode 2016","1017HH",""
"1017HJ","Postcode 2016","1017HJ",""
"1017HK","Postcode 2016","1017HK",""
"1017HL","Postcode 2016","1017HL",""
"1017HM","Postcode 2016","1017HM",""
"1017HN","Postcode 2016","1017HN",""
"1017HP","Postcode 2016","1017HP",""
"1017HR","Postcode 2016","1017HR",""
"1017HS","Postcode 2016","1017HS",""
"1017HT","Postcode 2016","1017HT",""
"1017HV","Postcode 2016","1017HV",""
"1017HW","Postcode 2016","1017HW",""
"1017HX","Postcode 2016","1017HX",""
"1017HZ","Postcode 2016","1017HZ",""
"1017JA","Postcode 2016","1017JA",""
"1017JB","Postcode 2016","1017JB",""
"1017JC","Postcode 2016","1017JC",""
"1017JD","Postcode 2016","1017JD",""
"1017JE","Postcode 2016","1017JE",""
"1017JG","Postcode 2016","1017JG",""
"1017JH","Postcode 2016","1017JH",""
"1017JJ","Postcode 2016","1017JJ",""
"1017JK","Postcode 2016","1017JK",""
"1017JL","Postcode 2016","1017JL",""
"1017JM","Postcode 2016","1017JM",""
"1017JN","Postcode 2016","1017JN",""
"1017JP","Postcode 2016","1017JP",""
"1017JR","Postcode 2016","1017JR",""
"1017JS","Postcode 2016","1017JS",""
"1017JT","Postcode 2016","1017JT",""
"1017JV","Postcode 2016","1017JV",""
"1017JW","Postcode 2016","1017JW",""
"1017JX","Postcode 2016","1017JX",""
"1017JZ","Postcode 2016","1017JZ",""
"1017KA","Postcode 2016","1017KA",""
"1017KB","Postcode 2016","1017KB",""
"1017KC","Postcode 2016","1017KC",""
"1017KD","Postcode 2016","1017KD",""
"1017KE","Postcode 2016","1017KE",""
"1017KG","Postcode 2016","1017KG",""
"1017KH","Postcode 2016","1017KH",""
"1017KJ","Postcode 2016","1017KJ",""
"1017KK","Postcode 2016","1017KK",""
"1017KL","Postcode 2016","1017KL",""
"1017KM","Postcode 2016","1017KM",""
"1017KN","Postcode 2016","1017KN",""
"1017KP","Postcode 2016","1017KP",""
"1017KR","Postcode 2016","1017KR",""
"1017KS","Postcode 2016","1017KS",""
"1017KT","Postcode 2016","1017KT",""
"1017KV","Postcode 2016","1017KV",""
"1017KW","Postcode 2016","1017KW",""
"1017KX","Postcode 2016","1017KX",""
"1017KZ","Postcode 2016","1017KZ",""
"1017LA","Postcode 2016","1017LA",""
"1017LB","Postcode 2016","1017LB",""
"1017LC","Postcode 2016","1017LC",""
"1017LD","Postcode 2016","1017LD",""
"1017LE","Postcode 2016","1017LE",""
"1017LG","Postcode 2016","1017LG",""
"1017LH","Postcode 2016","1017LH",""
"1017LJ","Postcode 2016","1017LJ",""
"1017LK","Postcode 2016","1017LK",""
"1017LL","Postcode 2016","1017LL",""
"1017LM","Postcode 2016","1017LM",""
"1017LN","Postcode 2016","1017LN",""
"1017LP","Postcode 2016","1017LP",""
"1017LR","Postcode 2016","1017LR",""
"1017LS","Postcode 2016","1017LS",""
"1017LT","Postcode 2016","1017LT",""
"1017LV","Postcode 2016","1017LV",""
"1017LW","Postcode 2016","1017LW",""
"1017LX","Postcode 2016","1017LX",""
"1017LZ","Postcode 2016","1017LZ",""
"1017MA","Postcode 2016","1017MA",""
"1017MB","Postcode 2016","1017MB",""
"1017MC","Postcode 2016","1017MC",""
"1017NA","Postcode 2016","1017NA",""
"1017NB","Postcode 2016","1017NB",""
"1017NC","Postcode 2016","1017NC",""
"1017ND","Postcode 2016","1017ND",""
"1017NE","Postcode 2016","1017NE",""
"1017NG","Postcode 2016","1017NG",""
"1017NH","Postcode 2016","1017NH",""
"1017NJ","Postcode 2016","1017NJ",""
"1017NK","Postcode 2016","1017NK",""
"1017NL","Postcode 2016","1017NL",""
"1017NM","Postcode 2016","1017NM",""
"1017NN","Postcode 2016","1017NN",""
"1017NP","Postcode 2016","1017NP",""
"1017NR","Postcode 2016","1017NR",""
"1017NS","Postcode 2016","1017NS",""
"1017NT","Postcode 2016","1017NT",""
"1017NV","Postcode 2016","1017NV",""
"1017NX","Postcode 2016","1017NX",""
"1017NZ","Postcode 2016","1017NZ",""
"1017PA","Postcode 2016","1017PA",""
"1017PB","Postcode 2016","1017PB",""
"1017PC","Postcode 2016","1017PC",""
"1017PD","Postcode 2016","1017PD",""
"1017PE","Postcode 2016","1017PE",""
"1017PG","Postcode 2016","1017PG",""
"1017PH","Postcode 2016","1017PH",""
"1017PJ","Postcode 2016","1017PJ",""
"1017PK","Postcode 2016","1017PK",""
"1017PL","Postcode 2016","1017PL",""
"1017PM","Postcode 2016","1017PM",""
"1017PN","Postcode 2016","1017PN",""
"1017PP","Postcode 2016","1017PP",""
"1017PR","Postcode 2016","1017PR",""
"1017PS","Postcode 2016","1017PS",""
"1017PT","Postcode 2016","1017PT",""
"1017PV","Postcode 2016","1017PV",""
"1017PW","Postcode 2016","1017PW",""
"1017PX","Postcode 2016","1017PX",""
"1017PZ","Postcode 2016","1017PZ",""
"1017RA","Postcode 2016","1017RA",""
"1017RB","Postcode 2016","1017RB",""
"1017RC","Postcode 2016","1017RC",""
"1017RD","Postcode 2016","1017RD",""
"1017RE","Postcode 2016","1017RE",""
"1017RG","Postcode 2016","1017RG",""
"1017RH","Postcode 2016","1017RH",""
"1017RJ","Postcode 2016","1017RJ",""
"1017RK","Postcode 2016","1017RK",""
"1017RL","Postcode 2016","1017RL",""
"1017RM","Postcode 2016","1017RM",""
"1017RN","Postcode 2016","1017RN",""
"1017RP","Postcode 2016","1017RP",""
"1017RR","Postcode 2016","1017RR",""
"1017RS","Postcode 2016","1017RS",""
"1017RT","Postcode 2016","1017RT",""
"1017RV","Postcode 2016","1017RV",""
"1017RW","Postcode 2016","1017RW",""
"1017RX","Postcode 2016","1017RX",""
"1017RZ","Postcode 2016","1017RZ",""
"1017SB","Postcode 2016","1017SB",""
"1017SC","Postcode 2016","1017SC",""
"1017SE","Postcode 2016","1017SE",""
"1017SG","Postcode 2016","1017SG",""
"1017SH","Postcode 2016","1017SH",""
"1017SJ","Postcode 2016","1017SJ",""
"1017SK","Postcode 2016","1017SK",""
"1017SL","Postcode 2016","1017SL",""
"1017SM","Postcode 2016","1017SM",""
"1017SN","Postcode 2016","1017SN",""
"1017SP","Postcode 2016","1017SP",""
"1017SR","Postcode 2016","1017SR",""
"1017ST","Postcode 2016","1017ST",""
"1017SV","Postcode 2016","1017SV",""
"1017SW","Postcode 2016","1017SW",""
"1017SX","Postcode 2016","1017SX",""
"1017SZ","Postcode 2016","1017SZ",""
"1017TA","Postcode 2016","1017TA",""
"1017TB","Postcode 2016","1017TB",""
"1017TC","Postcode 2016","1017TC",""
"1017TD","Postcode 2016","1017TD",""
"1017TE","Postcode 2016","1017TE",""
"1017TG","Postcode 2016","1017TG",""
"1017TH","Postcode 2016","1017TH",""
"1017TJ","Postcode 2016","1017TJ",""
"1017TK","Postcode 2016","1017TK",""
"1017TL","Postcode 2016","1017TL",""
"1017TM","Postcode 2016","1017TM",""
"1017TN","Postcode 2016","1017TN",""
"1017TP","Postcode 2016","1017TP",""
"1017TR","Postcode 2016","1017TR",""
"1017TS","Postcode 2016","1017TS",""
"1017TT","Postcode 2016","1017TT",""
"1017TV","Postcode 2016","1017TV",""
"1017TW","Postcode 2016","1017TW",""
"1017TX","Postcode 2016","1017TX",""
"1017TZ","Postcode 2016","1017TZ",""
"1017VA","Postcode 2016","1017VA",""
"1017VB","Postcode 2016","1017VB",""
"1017VC","Postcode 2016","1017VC",""
"1017VD","Postcode 2016","1017VD",""
"1017VE","Postcode 2016","1017VE",""
"1017VG","Postcode 2016","1017VG",""
"1017VH","Postcode 2016","1017VH",""
"1017VJ","Postcode 2016","1017VJ",""
"1017VK","Postcode 2016","1017VK",""
"1017VL","Postcode 2016","1017VL",""
"1017VM","Postcode 2016","1017VM",""
"1017VN","Postcode 2016","1017VN",""
"1017VP","Postcode 2016","1017VP",""
"1017VR","Postcode 2016","1017VR",""
"1017VS","Postcode 2016","1017VS",""
"1017VT","Postcode 2016","1017VT",""
"1017VV","Postcode 2016","1017VV",""
"1017VW","Postcode 2016","1017VW",""
"1017VX","Postcode 2016","1017VX",""
"1017VZ","Postcode 2016","1017VZ",""
"1017WB","Postcode 2016","1017WB",""
"1017WC","Postcode 2016","1017WC",""
"1017WD","Postcode 2016","1017WD",""
"1017WE","Postcode 2016","1017WE",""
"1017WG","Postcode 2016","1017WG",""
"1017WH","Postcode 2016","1017WH",""
"1017WJ","Postcode 2016","1017WJ",""
"1017WK","Postcode 2016","1017WK",""
"1017WL","Postcode 2016","1017WL",""
"1017WN","Postcode 2016","1017WN",""
"1017WP","Postcode 2016","1017WP",""
"1017WS","Postcode 2016","1017WS",""
"1017WT","Postcode 2016","1017WT",""
"1017WV","Postcode 2016","1017WV",""
"1017WZ","Postcode 2016","1017WZ",""
"1017XA","Postcode 2016","1017XA",""
"1017XB","Postcode 2016","1017XB",""
"1017XC","Postcode 2016","1017XC",""
"1017XD","Postcode 2016","1017XD",""
"1017XE","Postcode 2016","1017XE",""
"1017XG","Postcode 2016","1017XG",""
"1017XH","Postcode 2016","1017XH",""
"1017XJ","Postcode 2016","1017XJ",""
"1017XK","Postcode 2016","1017XK",""
"1017XL","Postcode 2016","1017XL",""
"1017XM","Postcode 2016","1017XM",""
"1017XN","Postcode 2016","1017XN",""
"1017XP","Postcode 2016","1017XP",""
"1017XR","Postcode 2016","1017XR",""
"1017XS","Postcode 2016","1017XS",""
"1017XT","Postcode 2016","1017XT",""
"1017XV","Postcode 2016","1017XV",""
"1017XW","Postcode 2016","1017XW",""
"1017XX","Postcode 2016","1017XX",""
"1017XZ","Postcode 2016","1017XZ",""
"1017ZA","Postcode 2016","1017ZA",""
"1017ZB","Postcode 2016","1017ZB",""
"1017ZC","Postcode 2016","1017ZC",""
"1017ZD","Postcode 2016","1017ZD",""
"1017ZE","Postcode 2016","1017ZE",""
"1017ZG","Postcode 2016","1017ZG",""
"1017ZH","Postcode 2016","1017ZH",""
"1017ZJ","Postcode 2016","1017ZJ",""
"1017ZK","Postcode 2016","1017ZK",""
"1017ZL","Postcode 2016","1017ZL",""
"1017ZM","Postcode 2016","1017ZM",""
"1017ZN","Postcode 2016","1017ZN",""
"1017ZP","Postcode 2016","1017ZP",""
"1017ZR","Postcode 2016","1017ZR",""
"1017ZS","Postcode 2016","1017ZS",""
"1017ZT","Postcode 2016","1017ZT",""
"1017ZV","Postcode 2016","1017ZV",""
"1017ZW","Postcode 2016","1017ZW",""
"1017ZX","Postcode 2016","1017ZX",""
"1018AA","Postcode 2016","1018AA",""
"1018AB","Postcode 2016","1018AB",""
"1018AC","Postcode 2016","1018AC",""
"1018AD","Postcode 2016","1018AD",""
"1018AE","Postcode 2016","1018AE",""
"1018AG","Postcode 2016","1018AG",""
"1018AH","Postcode 2016","1018AH",""
"1018AJ","Postcode 2016","1018AJ",""
"1018AK","Postcode 2016","1018AK",""
"1018AL","Postcode 2016","1018AL",""
"1018AM","Postcode 2016","1018AM",""
"1018AN","Postcode 2016","1018AN",""
"1018AP","Postcode 2016","1018AP",""
"1018AR","Postcode 2016","1018AR",""
"1018AS","Postcode 2016","1018AS",""
"1018AT","Postcode 2016","1018AT",""
"1018AV","Postcode 2016","1018AV",""
"1018AW","Postcode 2016","1018AW",""
"1018AX","Postcode 2016","1018AX",""
"1018AZ","Postcode 2016","1018AZ",""
"1018BA","Postcode 2016","1018BA",""
"1018BB","Postcode 2016","1018BB",""
"1018BC","Postcode 2016","1018BC",""
"1018BD","Postcode 2016","1018BD",""
"1018BE","Postcode 2016","1018BE",""
"1018BG","Postcode 2016","1018BG",""
"1018BH","Postcode 2016","1018BH",""
"1018BJ","Postcode 2016","1018BJ",""
"1018BK","Postcode 2016","1018BK",""
"1018BL","Postcode 2016","1018BL",""
"1018BM","Postcode 2016","1018BM",""
"1018BN","Postcode 2016","1018BN",""
"1018BP","Postcode 2016","1018BP",""
"1018BR","Postcode 2016","1018BR",""
"1018BS","Postcode 2016","1018BS",""
"1018BT","Postcode 2016","1018BT",""
"1018BV","Postcode 2016","1018BV",""
"1018BW","Postcode 2016","1018BW",""
"1018BX","Postcode 2016","1018BX",""
"1018BZ","Postcode 2016","1018BZ",""
"1018CC","Postcode 2016","1018CC",""
"1018CD","Postcode 2016","1018CD",""
"1018CE","Postcode 2016","1018CE",""
"1018CG","Postcode 2016","1018CG",""
"1018CH","Postcode 2016","1018CH",""
"1018CK","Postcode 2016","1018CK",""
"1018CL","Postcode 2016","1018CL",""
"1018CM","Postcode 2016","1018CM",""
"1018CN","Postcode 2016","1018CN",""
"1018CP","Postcode 2016","1018CP",""
"1018CR","Postcode 2016","1018CR",""
"1018CS","Postcode 2016","1018CS",""
"1018CT","Postcode 2016","1018CT",""
"1018CV","Postcode 2016","1018CV",""
"1018CW","Postcode 2016","1018CW",""
"1018CX","Postcode 2016","1018CX",""
"1018CZ","Postcode 2016","1018CZ",""
"1018DA","Postcode 2016","1018DA",""
"1018DB","Postcode 2016","1018DB",""
"1018DC","Postcode 2016","1018DC",""
"1018DD","Postcode 2016","1018DD",""
"1018DE","Postcode 2016","1018DE",""
"1018DG","Postcode 2016","1018DG",""
"1018DH","Postcode 2016","1018DH",""
"1018DJ","Postcode 2016","1018DJ",""
"1018DK","Postcode 2016","1018DK",""
"1018DL","Postcode 2016","1018DL",""
"1018DM","Postcode 2016","1018DM",""
"1018DN","Postcode 2016","1018DN",""
"1018DP","Postcode 2016","1018DP",""
"1018DR","Postcode 2016","1018DR",""
"1018DS","Postcode 2016","1018DS",""
"1018DT","Postcode 2016","1018DT",""
"1018DV","Postcode 2016","1018DV",""
"1018DW","Postcode 2016","1018DW",""
"1018DX","Postcode 2016","1018DX",""
"1018DZ","Postcode 2016","1018DZ",""
"1018EA","Postcode 2016","1018EA",""
"1018EB","Postcode 2016","1018EB",""
"1018EC","Postcode 2016","1018EC",""
"1018ED","Postcode 2016","1018ED",""
"1018EE","Postcode 2016","1018EE",""
"1018EG","Postcode 2016","1018EG",""
"1018EJ","Postcode 2016","1018EJ",""
"1018EK","Postcode 2016","1018EK",""
"1018EL","Postcode 2016","1018EL",""
"1018EM","Postcode 2016","1018EM",""
"1018EN","Postcode 2016","1018EN",""
"1018EP","Postcode 2016","1018EP",""
"1018ER","Postcode 2016","1018ER",""
"1018ES","Postcode 2016","1018ES",""
"1018ET","Postcode 2016","1018ET",""
"1018EV","Postcode 2016","1018EV",""
"1018EW","Postcode 2016","1018EW",""
"1018EX","Postcode 2016","1018EX",""
"1018EZ","Postcode 2016","1018EZ",""
"1018GA","Postcode 2016","1018GA",""
"1018GB","Postcode 2016","1018GB",""
"1018GD","Postcode 2016","1018GD",""
"1018GE","Postcode 2016","1018GE",""
"1018GG","Postcode 2016","1018GG",""
"1018GH","Postcode 2016","1018GH",""
"1018GJ","Postcode 2016","1018GJ",""
"1018GK","Postcode 2016","1018GK",""
"1018GL","Postcode 2016","1018GL",""
"1018GM","Postcode 2016","1018GM",""
"1018GN","Postcode 2016","1018GN",""
"1018GP","Postcode 2016","1018GP",""
"1018GR","Postcode 2016","1018GR",""
"1018GS","Postcode 2016","1018GS",""
"1018GT","Postcode 2016","1018GT",""
"1018GV","Postcode 2016","1018GV",""
"1018GW","Postcode 2016","1018GW",""
"1018GX","Postcode 2016","1018GX",""
"1018GZ","Postcode 2016","1018GZ",""
"1018HA","Postcode 2016","1018HA",""
"1018HB","Postcode 2016","1018HB",""
"1018HC","Postcode 2016","1018HC",""
"1018HD","Postcode 2016","1018HD",""
"1018HE","Postcode 2016","1018HE",""
"1018HG","Postcode 2016","1018HG",""
"1018HH","Postcode 2016","1018HH",""
"1018HJ","Postcode 2016","1018HJ",""
"1018HK","Postcode 2016","1018HK",""
"1018HL","Postcode 2016","1018HL",""
"1018HM","Postcode 2016","1018HM",""
"1018HN","Postcode 2016","1018HN",""
"1018HP","Postcode 2016","1018HP",""
"1018HR","Postcode 2016","1018HR",""
"1018HS","Postcode 2016","1018HS",""
"1018HT","Postcode 2016","1018HT",""
"1018HV","Postcode 2016","1018HV",""
"1018HW","Postcode 2016","1018HW",""
"1018HX","Postcode 2016","1018HX",""
"1018HZ","Postcode 2016","1018HZ",""
"1018JA","Postcode 2016","1018JA",""
"1018JB","Postcode 2016","1018JB",""
"1018JC","Postcode 2016","1018JC",""
"1018JD","Postcode 2016","1018JD",""
"1018JE","Postcode 2016","1018JE",""
"1018JG","Postcode 2016","1018JG",""
"1018JH","Postcode 2016","1018JH",""
"1018JJ","Postcode 2016","1018JJ",""
"1018JK","Postcode 2016","1018JK",""
"1018JL","Postcode 2016","1018JL",""
"1018JM","Postcode 2016","1018JM",""
"1018JN","Postcode 2016","1018JN",""
"1018JP","Postcode 2016","1018JP",""
"1018JR","Postcode 2016","1018JR",""
"1018JS","Postcode 2016","1018JS",""
"1018JT","Postcode 2016","1018JT",""
"1018JV","Postcode 2016","1018JV",""
"1018JW","Postcode 2016","1018JW",""
"1018JX","Postcode 2016","1018JX",""
"1018JZ","Postcode 2016","1018JZ",""
"1018KA","Postcode 2016","1018KA",""
"1018KB","Postcode 2016","1018KB",""
"1018KC","Postcode 2016","1018KC",""
"1018KD","Postcode 2016","1018KD",""
"1018KE","Postcode 2016","1018KE",""
"1018KG","Postcode 2016","1018KG",""
"1018KH","Postcode 2016","1018KH",""
"1018KJ","Postcode 2016","1018KJ",""
"1018KK","Postcode 2016","1018KK",""
"1018KL","Postcode 2016","1018KL",""
"1018KM","Postcode 2016","1018KM",""
"1018KN","Postcode 2016","1018KN",""
"1018KP","Postcode 2016","1018KP",""
"1018KR","Postcode 2016","1018KR",""
"1018KS","Postcode 2016","1018KS",""
"1018KT","Postcode 2016","1018KT",""
"1018KV","Postcode 2016","1018KV",""
"1018KW","Postcode 2016","1018KW",""
"1018KX","Postcode 2016","1018KX",""
"1018LD","Postcode 2016","1018LD",""
"1018LE","Postcode 2016","1018LE",""
"1018LG","Postcode 2016","1018LG",""
"1018LH","Postcode 2016","1018LH",""
"1018LJ","Postcode 2016","1018LJ",""
"1018LK","Postcode 2016","1018LK",""
"1018LL","Postcode 2016","1018LL",""
"1018LM","Postcode 2016","1018LM",""
"1018LN","Postcode 2016","1018LN",""
"1018LP","Postcode 2016","1018LP",""
"1018LR","Postcode 2016","1018LR",""
"1018LS","Postcode 2016","1018LS",""
"1018LT","Postcode 2016","1018LT",""
"1018LV","Postcode 2016","1018LV",""
"1018LW","Postcode 2016","1018LW",""
"1018LX","Postcode 2016","1018LX",""
"1018LZ","Postcode 2016","1018LZ",""
"1018MA","Postcode 2016","1018MA",""
"1018MB","Postcode 2016","1018MB",""
"1018MC","Postcode 2016","1018MC",""
"1018MD","Postcode 2016","1018MD",""
"1018ME","Postcode 2016","1018ME",""
"1018MG","Postcode 2016","1018MG",""
"1018MH","Postcode 2016","1018MH",""
"1018MJ","Postcode 2016","1018MJ",""
"1018MK","Postcode 2016","1018MK",""
"1018ML","Postcode 2016","1018ML",""
"1018MM","Postcode 2016","1018MM",""
"1018MN","Postcode 2016","1018MN",""
"1018MP","Postcode 2016","1018MP",""
"1018MR","Postcode 2016","1018MR",""
"1018MS","Postcode 2016","1018MS",""
"1018MT","Postcode 2016","1018MT",""
"1018MV","Postcode 2016","1018MV",""
"1018MW","Postcode 2016","1018MW",""
"1018MX","Postcode 2016","1018MX",""
"1018MZ","Postcode 2016","1018MZ",""
"1018NA","Postcode 2016","1018NA",""
"1018NB","Postcode 2016","1018NB",""
"1018NC","Postcode 2016","1018NC",""
"1018ND","Postcode 2016","1018ND",""
"1018NE","Postcode 2016","1018NE",""
"1018NG","Postcode 2016","1018NG",""
"1018NH","Postcode 2016","1018NH",""
"1018NJ","Postcode 2016","1018NJ",""
"1018NK","Postcode 2016","1018NK",""
"1018NL","Postcode 2016","1018NL",""
"1018NM","Postcode 2016","1018NM",""
"1018NN","Postcode 2016","1018NN",""
"1018NP","Postcode 2016","1018NP",""
"1018NR","Postcode 2016","1018NR",""
"1018NS","Postcode 2016","1018NS",""
"1018NT","Postcode 2016","1018NT",""
"1018NV","Postcode 2016","1018NV",""
"1018NW","Postcode 2016","1018NW",""
"1018NX","Postcode 2016","1018NX",""
"1018NZ","Postcode 2016","1018NZ",""
"1018PA","Postcode 2016","1018PA",""
"1018PB","Postcode 2016","1018PB",""
"1018PC","Postcode 2016","1018PC",""
"1018PD","Postcode 2016","1018PD",""
"1018PE","Postcode 2016","1018PE",""
"1018PG","Postcode 2016","1018PG",""
"1018PH","Postcode 2016","1018PH",""
"1018PJ","Postcode 2016","1018PJ",""
"1018PK","Postcode 2016","1018PK",""
"1018PL","Postcode 2016","1018PL",""
"1018PR","Postcode 2016","1018PR",""
"1018PS","Postcode 2016","1018PS",""
"1018PT","Postcode 2016","1018PT",""
"1018PV","Postcode 2016","1018PV",""
"1018PW","Postcode 2016","1018PW",""
"1018PX","Postcode 2016","1018PX",""
"1018PZ","Postcode 2016","1018PZ",""
"1018RA","Postcode 2016","1018RA",""
"1018RB","Postcode 2016","1018RB",""
"1018RC","Postcode 2016","1018RC",""
"1018RD","Postcode 2016","1018RD",""
"1018RE","Postcode 2016","1018RE",""
"1018RG","Postcode 2016","1018RG",""
"1018RH","Postcode 2016","1018RH",""
"1018RJ","Postcode 2016","1018RJ",""
"1018RK","Postcode 2016","1018RK",""
"1018RL","Postcode 2016","1018RL",""
"1018RM","Postcode 2016","1018RM",""
"1018RN","Postcode 2016","1018RN",""
"1018RR","Postcode 2016","1018RR",""
"1018RS","Postcode 2016","1018RS",""
"1018RT","Postcode 2016","1018RT",""
"1018RV","Postcode 2016","1018RV",""
"1018RW","Postcode 2016","1018RW",""
"1018RX","Postcode 2016","1018RX",""
"1018RZ","Postcode 2016","1018RZ",""
"1018SB","Postcode 2016","1018SB",""
"1018SC","Postcode 2016","1018SC",""
"1018SE","Postcode 2016","1018SE",""
"1018SG","Postcode 2016","1018SG",""
"1018SH","Postcode 2016","1018SH",""
"1018SJ","Postcode 2016","1018SJ",""
"1018SK","Postcode 2016","1018SK",""
"1018SL","Postcode 2016","1018SL",""
"1018SM","Postcode 2016","1018SM",""
"1018SN","Postcode 2016","1018SN",""
"1018SP","Postcode 2016","1018SP",""
"1018SR","Postcode 2016","1018SR",""
"1018ST","Postcode 2016","1018ST",""
"1018SV","Postcode 2016","1018SV",""
"1018SW","Postcode 2016","1018SW",""
"1018SX","Postcode 2016","1018SX",""
"1018SZ","Postcode 2016","1018SZ",""
"1018TA","Postcode 2016","1018TA",""
"1018TB","Postcode 2016","1018TB",""
"1018TC","Postcode 2016","1018TC",""
"1018TD","Postcode 2016","1018TD",""
"1018TE","Postcode 2016","1018TE",""
"1018TG","Postcode 2016","1018TG",""
"1018TH","Postcode 2016","1018TH",""
"1018TJ","Postcode 2016","1018TJ",""
"1018TK","Postcode 2016","1018TK",""
"1018TL","Postcode 2016","1018TL",""
"1018TM","Postcode 2016","1018TM",""
"1018TN","Postcode 2016","1018TN",""
"1018TP","Postcode 2016","1018TP",""
"1018TR","Postcode 2016","1018TR",""
"1018TS","Postcode 2016","1018TS",""
"1018TT","Postcode 2016","1018TT",""
"1018TV","Postcode 2016","1018TV",""
"1018TW","Postcode 2016","1018TW",""
"1018TX","Postcode 2016","1018TX",""
"1018TZ","Postcode 2016","1018TZ",""
"1018VA","Postcode 2016","1018VA",""
"1018VB","Postcode 2016","1018VB",""
"1018VC","Postcode 2016","1018VC",""
"1018VD","Postcode 2016","1018VD",""
"1018VE","Postcode 2016","1018VE",""
"1018VG","Postcode 2016","1018VG",""
"1018VH","Postcode 2016","1018VH",""
"1018VJ","Postcode 2016","1018VJ",""
"1018VK","Postcode 2016","1018VK",""
"1018VL","Postcode 2016","1018VL",""
"1018VM","Postcode 2016","1018VM",""
"1018VN","Postcode 2016","1018VN",""
"1018VP","Postcode 2016","1018VP",""
"1018VR","Postcode 2016","1018VR",""
"1018VS","Postcode 2016","1018VS",""
"1018VT","Postcode 2016","1018VT",""
"1018VV","Postcode 2016","1018VV",""
"1018VW","Postcode 2016","1018VW",""
"1018VX","Postcode 2016","1018VX",""
"1018VZ","Postcode 2016","1018VZ",""
"1018WA","Postcode 2016","1018WA",""
"1018WB","Postcode 2016","1018WB",""
