Vollcode,aggregatie,Naam,code
"M57a","Buurt 2015","Betondorp","57a"
"T96b","Buurt 2015","Reigersbos Noord","96b"
"M56a","Buurt 2015","Linnaeusparkbuurt","56a"
"M55d","Buurt 2015","Don Bosco","55d"
"M31a","Buurt 2015","Noordwestkwadrant Indische buurt Noord","31a"
"E75d","Buurt 2015","Van Brakelkwartier","75d"
"T94m","Buurt 2015","G-buurt Noord","94m"
"F81b","Buurt 2015","Meer en Oever","81b"
"T96c","Buurt 2015","Holendrecht Oost","96c"
"A04a","Buurt 2015","Oosterdokseiland","04a"
"A01c","Buurt 2015","Nieuwendijk Noord","01c"
"T97b","Buurt 2015","Gein Zuidwest","97b"
"T94e","Buurt 2015","Kelbergen","94e"
"F78b","Buurt 2015","Buurt 7","78b"
"K48d","Buurt 2015","Olympisch Stadion e.o.","48d"
"K24a","Buurt 2015","Hemonybuurt","24a"
"E41d","Buurt 2015","Mercatorpark","41d"
"K25d","Buurt 2015","Cornelis Troostbuurt","25d"
"M27c","Buurt 2015","Parooldriehoek","27c"
"F82c","Buurt 2015","Zuidwestkwadrant Osdorp Noord","82c"
"A06c","Buurt 2015","Bloemgrachtbuurt","06c"
"E36b","Buurt 2015","Bedrijventerrein Sloterdijk I","36b"
"M33b","Buurt 2015","Rietlanden","33b"
"T93j","Buurt 2015","Vogeltjeswei","93j"
"M27a","Buurt 2015","Swammerdambuurt","27a"
"N65c","Buurt 2015","Terrasdorp","65c"
"K90a","Buurt 2015","Gelderlandpleinbuurt","90a"
"F87a","Buurt 2015","Koningin Wilhelminaplein","87a"
"M58f","Buurt 2015","Overamstel","58f"
"F88f","Buurt 2015","Nieuw Sloten Noordoost","88f"
"E42d","Buurt 2015","Orteliusbuurt Zuid","42d"
"A08a","Buurt 2015","Weesperbuurt","08a"
"M30b","Buurt 2015","Transvaalbuurt Oost","30b"
"M50g","Buurt 2015","Centrumeiland","50g"
"N71h","Buurt 2015","Overhoeks","71h"
"N73g","Buurt 2015","Holysloot","73g"
"A06h","Buurt 2015","Passeerdersgrachtbuurt","06h"
"N71c","Buurt 2015","Papaverweg e.o.","71c"
"K53b","Buurt 2015","IJselbuurt Oost","53b"
"N61b","Buurt 2015","Vogelbuurt Zuid","61b"
"F77f","Buurt 2015","Buurt 5 Zuid","77f"
"F79b","Buurt 2015","Buurt 10","79b"
"E14f","Buurt 2015","Buyskade e.o.","14f"
"N72c","Buurt 2015","Bedrijventerrein Nieuwendammerdijk","72c"
"T94g","Buurt 2015","K-buurt Zuidoost","94g"
"K52b","Buurt 2015","Scheldebuurt West","52b"
"M55h","Buurt 2015","Tuindorp Frankendael","55h"
"N73d","Buurt 2015","Durgerdam","73d"
"A07h","Buurt 2015","Frederikspleinbuurt","07h"
"N68a","Buurt 2015","Markengouw Noord","68a"
"K25a","Buurt 2015","Willibrordusbuurt","25a"
"K24d","Buurt 2015","Hercules Seghersbuurt","24d"
"N65d","Buurt 2015","De Bongerd","65d"
"F84b","Buurt 2015","De Aker West","84b"
"A03g","Buurt 2015","Leidsegracht Zuid","03g"
"F82d","Buurt 2015","Zuidwestkwadrant Osdorp Zuid","82d"
"M58g","Buurt 2015","Amstelkwartier Noord","58g"
"K26a","Buurt 2015","Diamantbuurt","26a"
"E22b","Buurt 2015","Vondelparkbuurt Midden","22b"
"F81a","Buurt 2015","Wildeman","81a"
"A03d","Buurt 2015","Amstelveldbuurt","03d"
"M28c","Buurt 2015","Oosterparkbuurt Zuidoost","28c"
"A09b","Buurt 2015","Kattenburg","09b"
"N66g","Buurt 2015","Circus/Kermisbuurt","66g"
"M31b","Buurt 2015","Noordwestkwadrant Indische buurt Zuid","31b"
